CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
32,67,Male,Month-to-month,60.03,1320.66,Yes,DSL,22,Yes,Mailed check,No,60.03,1320.66
33,39,Female,One year,44.65,3125.5,No,No,70,No,Bank transfer (automatic),Yes,44.65,0.0
34,24,Male,Month-to-month,52.17,1878.12,Yes,Fiber optic,36,Yes,Credit card (automatic),No,52.169999999999995,1878.12
35,52,Male,Two year,28.61,686.64,No,No,24,No,Credit card (automatic),Yes,28.61,0.0
36,21,Male,Month-to-month,58.4,700.8,No,Fiber optic,12,Yes,Electronic check,No,58.4,700.8
37,43,Female,One year,60.64,1334.08,Yes,No,22,Yes,Bank transfer (automatic),No,60.63999999999999,1334.08
38,18,Female,Month-to-month,56.83,1307.09,No,Fiber optic,23,No,Credit card (automatic),Yes,56.83,0.0
39,20,Female,Two year,22.38,1409.94,Yes,Fiber optic,63,Yes,Mailed check,No,22.380000000000003,1409.94
40,42,Female,Month-to-month,37.35,1120.5,No,Fiber optic,30,No,Mailed check,No,37.35,1120.5
41,51,Female,Month-to-month,43.62,828.78,Yes,Fiber optic,19,No,Credit card (automatic),No,43.62,828.78
42,42,Male,Month-to-month,59.59,1549.34,Yes,Fiber optic,26,Yes,Mailed check,Yes,59.589999999999996,0.0
43,38,Male,Month-to-month,59.55,655.05,Yes,No,11,No,Credit card (automatic),Yes,59.55,0.0
44,35,Female,Month-to-month,51.88,1037.6,Yes,Fiber optic,20,Yes,Credit card (automatic),No,51.879999999999995,1037.6
45,18,Male,Month-to-month,66.06,3699.36,No,Fiber optic,56,No,Credit card (automatic),No,66.06,3699.36
46,29,Male,Month-to-month,40.13,1805.85,Yes,No,45,No,Mailed check,No,40.129999999999995,1805.85
47,33,Male,Month-to-month,65.57,4458.76,Yes,No,68,No,Mailed check,Yes,65.57000000000001,0.0
48,55,Male,Month-to-month,62.96,2959.12,Yes,Fiber optic,47,Yes,Bank transfer (automatic),No,62.96,2959.12
49,45,Female,One year,61.15,3546.7,Yes,No,58,Yes,Electronic check,No,61.15,3546.7
50,18,Male,One year,51.7,517.0,No,DSL,10,Yes,Mailed check,Yes,51.7,0.0
51,44,Female,One year,94.56,2080.32,Yes,DSL,22,Yes,Credit card (automatic),No,94.56,2080.32
52,34,Female,One year,63.3,4494.3,No,DSL,71,No,Mailed check,No,63.300000000000004,4494.3
53,29,Male,Month-to-month,40.83,979.92,No,Fiber optic,24,Yes,Mailed check,No,40.83,979.92
54,49,Female,Month-to-month,58.82,3882.12,Yes,DSL,66,Yes,Credit card (automatic),No,58.82,3882.12
55,55,Male,Month-to-month,68.43,4174.23,Yes,DSL,61,No,Bank transfer (automatic),No,68.42999999999999,4174.23
56,53,Male,One year,45.77,320.39,Yes,DSL,7,Yes,Credit card (automatic),No,45.769999999999996,320.39
57,27,Male,Two year,75.7,5450.4,Yes,Fiber optic,72,Yes,Bank transfer (automatic),No,75.69999999999999,5450.4
58,35,Female,Month-to-month,61.23,2326.74,No,Fiber optic,38,No,Mailed check,No,61.23,2326.74
59,44,Female,Month-to-month,27.04,567.84,No,DSL,21,Yes,Credit card (automatic),No,27.040000000000003,567.84
60,54,Female,Month-to-month,59.73,477.84,Yes,Fiber optic,8,Yes,Mailed check,No,59.73,477.84
61,32,Male,Month-to-month,48.34,1353.52,Yes,DSL,28,Yes,Credit card (automatic),No,48.339999999999996,1353.52
62,37,Male,Month-to-month,64.15,3464.1,No,DSL,54,Yes,Mailed check,Yes,64.14999999999999,0.0
63,23,Male,Month-to-month,72.48,2246.88,No,No,31,Yes,Mailed check,Yes,72.48,0.0
64,22,Female,Two year,57.89,2373.49,Yes,No,41,No,Mailed check,No,57.88999999999999,2373.49
65,52,Male,Month-to-month,89.98,3329.26,Yes,Fiber optic,37,Yes,Credit card (automatic),No,89.98,3329.26
66,60,Male,Two year,51.75,1966.5,Yes,Fiber optic,38,Yes,Bank transfer (automatic),No,51.75,1966.5
67,38,Female,One year,65.85,3358.35,Yes,No,51,Yes,Mailed check,No,65.85,3358.35
68,55,Female,One year,69.51,2571.87,Yes,Fiber optic,37,Yes,Credit card (automatic),Yes,69.50999999999999,0.0
69,45,Female,One year,53.03,1643.93,Yes,Fiber optic,31,Yes,Credit card (automatic),No,53.03,1643.93
70,30,Male,One year,68.97,4276.14,No,Fiber optic,62,Yes,Mailed check,No,68.97,4276.14
71,45,Male,One year,45.68,822.24,No,DSL,18,Yes,Mailed check,Yes,45.68,0.0
72,63,Male,One year,48.1,288.6,No,Fiber optic,6,Yes,Bank transfer (automatic),No,48.1,288.6
73,39,Female,Month-to-month,36.83,331.47,No,Fiber optic,9,No,Mailed check,No,36.830000000000005,331.47
74,63,Female,Two year,58.7,645.7,Yes,Fiber optic,11,Yes,Bank transfer (automatic),No,58.7,645.7
75,18,Female,One year,60.19,120.38,Yes,DSL,2,Yes,Electronic check,No,60.19,120.38
76,52,Female,One year,77.77,2255.33,No,No,29,Yes,Credit card (automatic),No,77.77,2255.33
77,41,Male,One year,69.22,3530.22,Yes,DSL,51,No,Bank transfer (automatic),No,69.22,3530.22
78,35,Male,Month-to-month,50.13,3458.97,Yes,Fiber optic,69,Yes,Mailed check,No,50.129999999999995,3458.97
79,41,Male,Month-to-month,38.34,881.82,Yes,Fiber optic,23,No,Bank transfer (automatic),Yes,38.34,0.0
80,18,Male,Month-to-month,62.17,435.19,No,Fiber optic,7,Yes,Mailed check,No,62.17,435.19
81,36,Male,Month-to-month,76.19,4266.64,No,DSL,56,Yes,Bank transfer (automatic),No,76.19000000000001,4266.64
82,45,Male,One year,68.48,4245.76,No,Fiber optic,62,Yes,Credit card (automatic),No,68.48,4245.76
83,62,Male,Month-to-month,75.59,1133.85,No,DSL,15,Yes,Bank transfer (automatic),Yes,75.58999999999999,0.0
84,32,Male,Month-to-month,51.24,2715.72,No,Fiber optic,53,No,Electronic check,No,51.239999999999995,2715.72
85,27,Female,Month-to-month,47.47,2041.21,No,Fiber optic,43,No,Credit card (automatic),Yes,47.47,0.0
86,32,Female,Month-to-month,43.77,1531.95,No,No,35,Yes,Bank transfer (automatic),No,43.77,1531.95
87,53,Male,One year,53.69,751.66,Yes,No,14,Yes,Electronic check,No,53.69,751.66
88,44,Female,One year,53.33,3679.77,No,Fiber optic,69,Yes,Electronic check,No,53.33,3679.77
89,32,Male,Month-to-month,58.09,2846.41,Yes,No,49,Yes,Bank transfer (automatic),No,58.089999999999996,2846.41
90,47,Male,Month-to-month,52.52,945.36,Yes,DSL,18,No,Credit card (automatic),No,52.52,945.36
91,41,Female,Month-to-month,52.45,2674.95,No,No,51,Yes,Bank transfer (automatic),Yes,52.449999999999996,0.0
92,54,Male,Month-to-month,43.25,43.25,Yes,DSL,1,No,Credit card (automatic),No,43.25,43.25
93,29,Male,Month-to-month,72.42,1955.34,Yes,Fiber optic,27,No,Credit card (automatic),Yes,72.42,0.0
94,35,Male,Two year,55.87,3575.68,No,DSL,64,No,Bank transfer (automatic),No,55.87,3575.68
95,34,Male,Month-to-month,51.81,3108.6,Yes,No,60,Yes,Electronic check,No,51.809999999999995,3108.6
96,18,Male,Month-to-month,43.63,1788.83,No,Fiber optic,41,Yes,Credit card (automatic),No,43.629999999999995,1788.83
97,44,Male,Month-to-month,36.61,768.81,Yes,Fiber optic,21,No,Mailed check,Yes,36.61,0.0
98,43,Male,One year,80.83,1131.62,Yes,No,14,No,Mailed check,No,80.83,1131.62
99,40,Female,One year,64.48,1289.6,Yes,Fiber optic,20,No,Electronic check,No,64.47999999999999,1289.6
100,36,Female,One year,33.54,368.94,Yes,Fiber optic,11,Yes,Electronic check,No,33.54,368.94
101,18,Male,Month-to-month,68.64,4530.24,No,DSL,66,Yes,Bank transfer (automatic),Yes,68.64,0.0
102,33,Female,One year,72.01,1728.24,No,No,24,No,Credit card (automatic),Yes,72.01,0.0
103,34,Male,Month-to-month,56.67,2096.79,No,No,37,Yes,Bank transfer (automatic),Yes,56.67,0.0
104,27,Male,Month-to-month,88.18,2116.32,Yes,No,24,Yes,Mailed check,No,88.18,2116.32
105,37,Male,Month-to-month,58.27,874.05,Yes,DSL,15,Yes,Mailed check,No,58.269999999999996,874.05
106,46,Male,Month-to-month,35.69,428.28,Yes,DSL,12,No,Credit card (automatic),Yes,35.69,0.0
107,68,Female,One year,60.92,3898.88,Yes,Fiber optic,64,Yes,Credit card (automatic),No,60.92,3898.88
108,42,Female,Two year,58.76,1821.56,No,Fiber optic,31,Yes,Mailed check,No,58.76,1821.56
109,43,Female,Month-to-month,45.56,2414.68,Yes,Fiber optic,53,No,Bank transfer (automatic),No,45.559999999999995,2414.68
110,38,Female,One year,64.85,4669.2,No,Fiber optic,72,No,Credit card (automatic),No,64.85,4669.2
111,18,Male,One year,33.11,1456.84,Yes,No,44,Yes,Bank transfer (automatic),No,33.11,1456.84
112,39,Female,Two year,73.49,2204.7,Yes,No,30,No,Credit card (automatic),No,73.49,2204.7
113,40,Male,Month-to-month,41.95,1468.25,,DSL,35,No,Electronic check,Yes,41.95,0.0
114,76,Male,Month-to-month,40.63,853.23,No,DSL,21,Yes,Bank transfer (automatic),No,40.63,853.23
115,37,Female,Month-to-month,52.77,3324.51,No,DSL,63,No,Mailed check,No,52.77,3324.51
116,44,Male,One year,62.17,1056.89,No,Fiber optic,17,No,Electronic check,Yes,62.17000000000001,0.0
117,39,Female,Month-to-month,57.35,688.2,Yes,Fiber optic,12,Yes,Bank transfer (automatic),No,57.35,688.2
118,22,Female,Month-to-month,43.69,786.42,,Fiber optic,18,Yes,Credit card (automatic),No,43.69,786.42
119,57,Female,Month-to-month,46.91,2814.6,No,No,60,Yes,Mailed check,Yes,46.91,0.0
120,51,Female,Month-to-month,38.86,2603.62,Yes,Fiber optic,67,No,Credit card (automatic),Yes,38.86,0.0
121,51,Female,One year,51.04,765.6,Yes,Fiber optic,15,Yes,Bank transfer (automatic),No,51.04,765.6
122,26,Male,One year,75.38,1206.08,Yes,Fiber optic,16,No,Electronic check,No,75.38,1206.08
123,61,Female,One year,54.53,1199.66,Yes,Fiber optic,22,Yes,Bank transfer (automatic),No,54.53,1199.66
124,18,Female,One year,70.66,4451.58,No,Fiber optic,63,Yes,Mailed check,No,70.66,4451.58
125,48,Male,Month-to-month,84.49,2619.19,No,No,31,No,Electronic check,No,84.49,2619.19
126,72,Female,Month-to-month,45.77,45.77,Yes,Fiber optic,1,No,Mailed check,Yes,45.77,0.0
127,25,Female,Month-to-month,51.63,309.78,No,No,6,Yes,Credit card (automatic),No,51.629999999999995,309.78
128,31,Male,Month-to-month,104.73,942.57,No,Fiber optic,9,No,Electronic check,Yes,104.73,0.0
129,41,Male,Month-to-month,84.21,4378.92,Yes,DSL,52,Yes,Bank transfer (automatic),No,84.21000000000001,4378.92
130,32,Female,One year,33.06,2049.72,No,No,62,No,Credit card (automatic),No,33.059999999999995,2049.72
131,18,Male,Month-to-month,61.32,3556.56,No,Fiber optic,58,Yes,Credit card (automatic),No,61.32,3556.56
132,41,Female,One year,54.61,1037.59,Yes,,19,Yes,Bank transfer (automatic),No,54.60999999999999,1037.59
133,24,Male,Month-to-month,69.96,909.48,No,Fiber optic,13,No,Credit card (automatic),No,69.96000000000001,909.48
134,47,Female,Month-to-month,43.66,1397.12,No,Fiber optic,32,Yes,Mailed check,Yes,43.66,0.0
135,26,Female,Month-to-month,42.44,381.96,Yes,Fiber optic,9,Yes,Bank transfer (automatic),No,42.44,381.96
136,63,Female,Month-to-month,44.58,2184.42,No,No,49,No,Credit card (automatic),No,44.58,2184.42
137,28,Male,Month-to-month,45.99,1701.63,,No,37,No,Electronic check,No,45.99,1701.63
138,35,Female,Month-to-month,69.73,2161.63,Yes,Fiber optic,31,Yes,Bank transfer (automatic),No,69.73,2161.63
139,52,Male,Month-to-month,38.31,1187.61,Yes,Fiber optic,31,No,Bank transfer (automatic),No,38.309999999999995,1187.61
140,21,Female,Month-to-month,45.3,2672.7,Yes,No,59,Yes,Credit card (automatic),No,45.3,2672.7
141,43,Female,Month-to-month,31.92,1755.6,Yes,Fiber optic,55,Yes,Bank transfer (automatic),No,31.919999999999998,1755.6
142,59,Female,One year,73.86,1403.34,Yes,Fiber optic,19,No,Bank transfer (automatic),No,73.86,1403.34
143,18,Female,One year,79.94,5036.22,No,DSL,63,Yes,Bank transfer (automatic),No,79.94,5036.22
144,42,Female,Month-to-month,49.5,99.0,Yes,Fiber optic,2,Yes,Bank transfer (automatic),No,49.5,99.0
145,43,Male,One year,49.93,2246.85,No,DSL,45,Yes,Bank transfer (automatic),No,49.93,2246.85
146,51,Male,One year,62.55,2689.65,Yes,DSL,43,Yes,Bank transfer (automatic),No,62.550000000000004,2689.65
147,21,Male,One year,84.97,84.97,Yes,No,1,Yes,Mailed check,No,84.97,84.97
148,20,Female,Month-to-month,61.72,3764.92,Yes,Fiber optic,61,No,Credit card (automatic),No,61.72,3764.92
149,47,Female,Month-to-month,44.29,132.87,No,No,3,No,Mailed check,No,44.29,132.87
150,44,Male,One year,33.59,1477.96,No,Fiber optic,44,Yes,Credit card (automatic),Yes,33.59,0.0
151,43,Female,Month-to-month,39.07,273.49,Yes,Fiber optic,7,No,Bank transfer (automatic),No,39.07,273.49
152,45,Female,Two year,55.81,1841.73,No,DSL,33,No,Credit card (automatic),No,55.81,1841.73
153,29,Female,One year,44.85,403.65,Yes,No,9,No,Mailed check,No,44.849999999999994,403.65
154,43,Male,Month-to-month,57.89,1736.7,Yes,DSL,30,No,Credit card (automatic),No,57.89,1736.7
155,44,Male,Month-to-month,46.25,832.5,No,Fiber optic,18,Yes,Bank transfer (automatic),No,46.25,832.5
156,29,Male,Month-to-month,39.75,2226.0,Yes,DSL,56,No,Bank transfer (automatic),Yes,39.75,0.0
157,67,Male,Month-to-month,38.36,1189.16,Yes,DSL,31,No,Bank transfer (automatic),No,38.36,1189.16
158,47,Male,Month-to-month,87.24,6281.28,No,DSL,72,No,Mailed check,No,87.24,6281.28
159,22,Female,Month-to-month,71.29,4491.27,Yes,Fiber optic,63,No,Electronic check,Yes,71.29,0.0
160,49,Female,Month-to-month,91.76,4588.0,Yes,No,50,No,Bank transfer (automatic),No,91.76,4588.0
161,25,Female,Month-to-month,64.2,64.2,No,Fiber optic,1,No,Bank transfer (automatic),No,64.2,64.2
162,51,Female,Two year,47.99,911.81,No,Fiber optic,19,Yes,Credit card (automatic),No,47.989999999999995,911.81
163,57,Male,Month-to-month,81.21,5197.44,Yes,No,64,No,Electronic check,No,81.21,5197.44
164,27,Male,Two year,54.06,2865.18,Yes,Fiber optic,53,No,Credit card (automatic),No,54.059999999999995,2865.18
165,54,Female,Two year,58.34,350.04,No,No,6,No,Mailed check,No,58.34,350.04
166,46,Male,Month-to-month,53.9,916.3,No,Fiber optic,17,No,Electronic check,No,53.9,916.3
167,52,Female,One year,22.55,1037.3,Yes,No,46,Yes,Bank transfer (automatic),No,22.55,1037.3
168,68,Female,Month-to-month,88.36,6361.92,No,Fiber optic,72,Yes,Electronic check,No,88.36,6361.92
169,36,Female,One year,63.26,3479.3,No,DSL,55,No,Bank transfer (automatic),No,63.260000000000005,3479.3
170,28,Female,Month-to-month,60.28,361.68,No,DSL,6,No,Mailed check,Yes,60.28,0.0
171,26,Male,Month-to-month,53.6,3752.0,Yes,DSL,70,No,Credit card (automatic),No,53.6,3752.0
172,27,Female,Month-to-month,57.34,3899.12,Yes,Fiber optic,68,No,Mailed check,No,57.339999999999996,3899.12
173,38,Male,Month-to-month,45.64,1825.6,Yes,No,40,Yes,Mailed check,No,45.64,1825.6
174,45,Female,Month-to-month,65.69,4335.54,Yes,Fiber optic,66,No,Bank transfer (automatic),Yes,65.69,0.0
175,44,Female,Month-to-month,36.89,332.01,Yes,No,9,Yes,Credit card (automatic),No,36.89,332.01
176,52,Female,Month-to-month,57.73,635.03,No,Fiber optic,11,Yes,Mailed check,Yes,57.73,0.0
177,40,Female,Month-to-month,64.62,1292.4,No,Fiber optic,20,No,Electronic check,Yes,64.62,0.0
178,61,Male,Month-to-month,51.44,2211.92,No,DSL,43,No,Mailed check,No,51.440000000000005,2211.92
179,36,Female,Month-to-month,61.02,3539.16,Yes,Fiber optic,58,Yes,Bank transfer (automatic),No,61.019999999999996,3539.16
180,80,Male,Month-to-month,40.55,1054.3,Yes,Fiber optic,26,No,Electronic check,No,40.55,1054.3
181,49,Female,Month-to-month,40.86,1552.68,No,No,38,Yes,Electronic check,No,40.86,1552.68
182,27,Female,One year,58.62,2110.32,No,Fiber optic,36,No,Credit card (automatic),Yes,58.620000000000005,0.0
183,23,Female,Month-to-month,66.92,3680.6,No,Fiber optic,55,No,Electronic check,No,66.92,3680.6
184,47,Male,One year,31.11,186.66,No,DSL,6,No,Electronic check,No,31.11,186.66
185,36,Female,Month-to-month,63.85,191.55,Yes,Fiber optic,3,No,Bank transfer (automatic),No,63.85,191.55
186,50,Female,One year,46.39,3015.35,Yes,No,65,Yes,Credit card (automatic),No,46.39,3015.35
187,47,Female,Month-to-month,51.53,3297.92,No,Fiber optic,64,No,Mailed check,No,51.53,3297.92
188,38,Female,Month-to-month,36.53,2118.74,Yes,DSL,58,No,Electronic check,No,36.529999999999994,2118.74
189,27,Female,Month-to-month,42.29,2452.82,Yes,Fiber optic,58,No,Mailed check,No,42.290000000000006,2452.82
190,18,Male,Month-to-month,72.95,1313.1,Yes,Fiber optic,18,Yes,Mailed check,No,72.94999999999999,1313.1
191,33,Male,Month-to-month,55.14,1268.22,Yes,Fiber optic,23,No,Mailed check,No,55.14,1268.22
192,52,Female,Month-to-month,48.68,1411.72,No,Fiber optic,29,Yes,Credit card (automatic),No,48.68,1411.72
193,43,Female,Two year,52.72,1212.56,No,No,23,Yes,Mailed check,No,52.72,1212.56
194,21,Male,Month-to-month,63.23,2276.28,Yes,Fiber optic,36,No,Bank transfer (automatic),No,63.230000000000004,2276.28
195,42,Female,Month-to-month,62.31,4361.7,No,DSL,70,Yes,Credit card (automatic),No,62.309999999999995,4361.7
196,45,Male,One year,53.38,320.28,Yes,Fiber optic,6,No,Credit card (automatic),No,53.379999999999995,320.28
197,26,Female,Month-to-month,378.9,2576.52,No,Fiber optic,34,No,Credit card (automatic),Yes,75.78,0.0
198,42,Female,One year,73.05,3214.2,No,No,44,No,Credit card (automatic),No,73.05,3214.2
199,40,Male,Month-to-month,61.81,2719.64,No,Fiber optic,44,Yes,Electronic check,No,61.809999999999995,2719.64
200,22,Female,One year,55.5,1498.5,No,DSL,27,Yes,Electronic check,No,55.5,1498.5
201,45,Male,Month-to-month,66.5,3458.0,No,DSL,52,Yes,Mailed check,No,66.5,3458.0
202,48,Male,One year,60.0,2520.0,No,DSL,42,No,Electronic check,Yes,60.0,0.0
203,56,Male,One year,75.06,1876.5,No,No,25,No,Credit card (automatic),No,75.06,1876.5
204,55,Female,Month-to-month,71.51,2788.89,Yes,Fiber optic,39,Yes,Mailed check,No,71.50999999999999,2788.89
205,19,Male,Month-to-month,40.23,1568.97,No,No,39,Yes,Bank transfer (automatic),No,40.230000000000004,1568.97
206,25,Male,Month-to-month,39.42,473.04,Yes,Fiber optic,12,No,Electronic check,Yes,39.42,0.0
207,47,Female,Two year,44.24,486.64,No,Fiber optic,11,Yes,Credit card (automatic),No,44.24,486.64
208,47,Female,Month-to-month,73.17,219.51,No,No,3,No,Mailed check,No,73.17,219.51
209,47,Female,Month-to-month,34.03,748.66,No,Fiber optic,22,No,Electronic check,Yes,34.03,0.0
210,80,Female,Month-to-month,61.46,245.84,Yes,DSL,4,Yes,Credit card (automatic),Yes,61.46,0.0
211,48,Female,Month-to-month,60.87,486.96,,Fiber optic,8,No,Mailed check,No,60.87,486.96
212,57,Female,Month-to-month,77.39,1083.46,Yes,DSL,14,No,Electronic check,No,77.39,1083.46
213,54,Male,Two year,57.63,806.82,Yes,No,14,Yes,Bank transfer (automatic),No,57.63,806.82
214,49,Female,Month-to-month,36.49,583.84,Yes,No,16,Yes,Electronic check,No,36.49,583.84
215,35,Male,One year,40.94,1310.08,No,No,32,Yes,Credit card (automatic),No,40.94,1310.08
216,51,Female,Month-to-month,38.3,2451.2,Yes,No,64,No,Credit card (automatic),Yes,38.3,0.0
217,28,Male,Month-to-month,46.46,743.36,Yes,Fiber optic,16,No,Bank transfer (automatic),No,46.46,743.36
218,36,Male,Month-to-month,51.68,2687.36,Yes,Fiber optic,52,Yes,Bank transfer (automatic),Yes,51.68,0.0
219,32,Female,Month-to-month,38.49,731.31,No,DSL,19,No,Mailed check,No,38.489999999999995,731.31
220,41,Female,Two year,84.88,5856.72,No,Fiber optic,69,Yes,Mailed check,Yes,84.88000000000001,0.0
221,74,Male,One year,36.69,440.28,No,DSL,12,No,Credit card (automatic),No,36.69,440.28
222,18,Female,Month-to-month,81.76,408.8,Yes,No,5,No,Electronic check,Yes,81.76,0.0
223,50,Female,Month-to-month,77.91,3272.22,No,No,42,No,Bank transfer (automatic),No,77.91,3272.22
224,18,Male,Month-to-month,71.49,1215.33,Yes,DSL,17,No,Mailed check,No,71.49,1215.33
225,32,Male,Two year,44.34,3192.48,No,DSL,72,No,Credit card (automatic),No,44.34,3192.48
226,56,Male,One year,60.51,605.1,No,Fiber optic,10,Yes,Credit card (automatic),Yes,60.510000000000005,0.0
227,40,Female,One year,37.22,595.52,No,Fiber optic,16,Yes,Credit card (automatic),No,37.22,595.52
228,23,Female,Month-to-month,71.76,1148.16,No,Fiber optic,16,No,Bank transfer (automatic),Yes,71.76,0.0
229,29,Female,Month-to-month,53.4,2242.8,No,Fiber optic,42,Yes,Bank transfer (automatic),No,53.400000000000006,2242.8
230,50,Female,Month-to-month,48.29,144.87,Yes,No,3,Yes,Bank transfer (automatic),Yes,48.29,0.0
231,29,Male,Month-to-month,37.82,869.86,Yes,DSL,23,No,Electronic check,Yes,37.82,0.0
232,43,Female,Month-to-month,25.96,726.88,No,,28,No,Bank transfer (automatic),No,25.96,726.88
233,40,Male,Month-to-month,39.98,1799.1,Yes,Fiber optic,45,No,Credit card (automatic),No,39.98,1799.1
234,30,Female,Month-to-month,76.24,5184.32,No,,68,Yes,Bank transfer (automatic),No,76.24,5184.32
235,72,Female,One year,48.38,1161.12,No,Fiber optic,24,Yes,Electronic check,No,48.379999999999995,1161.12
236,49,Male,One year,51.89,985.91,No,No,19,Yes,Electronic check,No,51.89,985.91
237,18,Female,Month-to-month,66.46,2658.4,No,No,40,No,Credit card (automatic),No,66.46000000000001,2658.4
238,42,Female,Month-to-month,93.85,4317.1,No,Fiber optic,46,No,Mailed check,No,93.85000000000001,4317.1
239,30,Male,Month-to-month,81.25,3250.0,No,No,40,No,Bank transfer (automatic),No,81.25,3250.0
240,52,Female,One year,40.78,2528.36,No,DSL,62,No,Bank transfer (automatic),No,40.78,2528.36
241,28,Male,One year,30.48,548.64,Yes,No,18,No,Electronic check,No,30.48,548.64
242,38,Male,One year,110.82,1329.84,Yes,DSL,12,Yes,Electronic check,No,110.82,1329.84
243,47,Male,One year,107.85,1509.9,No,Fiber optic,14,Yes,Mailed check,Yes,107.85000000000001,0.0
244,52,Male,Month-to-month,57.77,3523.97,Yes,DSL,61,Yes,Electronic check,No,57.769999999999996,3523.97
245,21,Female,Month-to-month,37.29,447.48,No,No,12,No,Electronic check,No,37.29,447.48
246,34,Female,Month-to-month,72.89,1968.03,Yes,DSL,27,No,Electronic check,No,72.89,1968.03
247,32,Female,Month-to-month,52.86,317.16,Yes,DSL,6,Yes,Electronic check,No,52.86000000000001,317.16
248,30,Male,One year,52.78,1741.74,No,Fiber optic,33,Yes,Mailed check,No,52.78,1741.74
249,66,Female,Month-to-month,71.4,3570.0,No,DSL,50,No,Bank transfer (automatic),No,71.4,3570.0
250,46,Female,Month-to-month,60.36,724.32,Yes,DSL,12,Yes,Bank transfer (automatic),No,60.36000000000001,724.32
251,21,Female,Month-to-month,38.25,2180.25,No,Fiber optic,57,No,Bank transfer (automatic),No,38.25,2180.25
252,53,Female,Two year,49.53,2625.09,Yes,DSL,53,Yes,Bank transfer (automatic),No,49.53,2625.09
253,71,Male,Month-to-month,66.58,865.54,,DSL,13,Yes,Bank transfer (automatic),No,66.58,865.54
